name,type,domain,stripe_customer_id,stripe_subscription_id,purchased_capacity,orgs_purchased,orgs_count,prompts_count,prompt_limit,credits_usage,credits_capacity,orgs_count_hf,subscription_id,mrr,arr,discount_count,currency,interval,baseline_credits_needed,effective_discount_pct,new_plan,plan_credits,plan_price,credit_price,purchased_credits,extra_credits_granted,extra_credits_granted_10,discount_amount,discount_pct,total_available_credits
Flying Cat,AGENCY,flyingcatmarketing.com,cus_T6T5U4MOGZ7ntZ,sub_1SDr10KojVEYZPlXy4X5spim,300.0,1.0,7.0,197.0,505.0,17730.0,45450.0,0.0,sub_1SDr10KojVEYZPlXy4X5spim,499,,0.0,eur,month,45450.0,0,scale,37425,499,0.013333333333333334,0.0,8025.0,8827.5,0.0,0.0,45450
Wickey,IN_HOUSE,wickey.de,cus_T40lDnXfwWLTJe,sub_1SD0bmKojVEYZPlXA2382RPf,100.0,1.0,1.0,100.0,100.0,9000.0,9000.0,0.0,sub_1SD0bmKojVEYZPlXA2382RPf,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Dot Dash,AGENCY,dotdash.io,cus_T2bSdUiWSeuKVX,sub_1SGhkrKojVEYZPlXgxccGh4K,25.0,1.0,1.0,17.0,25.0,1530.0,2250.0,0.0,sub_1SGhkrKojVEYZPlXgxccGh4K,89,,0.0,usd,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
TrueClicks,IN_HOUSE,trueclicks.com,cus_SytMawkXSQzCwo,sub_1S2vbmKojVEYZPlX79pt2DcB,25.0,1.0,1.0,9.0,25.0,810.0,2250.0,0.0,sub_1S2vbmKojVEYZPlX79pt2DcB,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
CommsCo,AGENCY,thecommsco.com,cus_SlmRXxPfcvT5vJ,sub_1RqEu2KojVEYZPlX9mMIMKnT,25.0,4.0,4.0,76.0,100.0,6840.0,9000.0,0.0,sub_1RqEu2KojVEYZPlX9mMIMKnT,280,,0.0,eur,month,9000.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,12935
Gear4music,IN_HOUSE,gear4music.com,cus_SoKQVKYPKRFBG9,sub_1RshssKojVEYZPlXHv3eHQUu,100.0,1.0,1.0,100.0,100.0,9000.0,9000.0,0.0,sub_1RshssKojVEYZPlXHv3eHQUu,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Betmode,IN_HOUSE,betmode.io,cus_SydWtW8aT3NB0l,sub_1S2gFqKojVEYZPlXz2CxbgDq,100.0,1.0,1.0,31.0,100.0,2790.0,9000.0,0.0,sub_1S2gFqKojVEYZPlXz2CxbgDq,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
RivalMind,AGENCY,rivalmind.com,cus_T4U7CHviUvCBko,sub_1S8L9dKojVEYZPlXlKUKcjum,50.0,6.0,5.0,105.0,100.0,9450.0,9000.0,0.0,sub_1S8L9dKojVEYZPlXlKUKcjum,199,,0.0,eur,month,9450.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,12935
Harper James,IN_HOUSE,harperjames.co.uk,cus_Sr2galowxQOWj7,sub_1RvKbdKojVEYZPlXEkHB55Fb,300.0,1.0,1.0,265.0,300.0,23850.0,27000.0,0.0,sub_1RvKbdKojVEYZPlXEkHB55Fb,499,,0.0,eur,month,27000.0,0,enterprise,49900,499,0.01,0.0,0.0,0.0,0.0,0.0,49900
addmustard,AGENCY,addmustard.com,cus_SijHWo4YDxCR3c,sub_1RnHslKojVEYZPlXP4VTZj8i,100.0,1.0,1.0,24.0,25.0,2160.0,2250.0,0.0,sub_1RnHslKojVEYZPlXP4VTZj8i,199,,0.0,eur,month,2250.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,12935
SciChart,IN_HOUSE,scichart.com,cus_T6fe2yPm2rOE7y,sub_1SASKWKojVEYZPlX9AhEsA4a,100.0,1.0,1.0,77.0,100.0,6930.0,9000.0,0.0,sub_1SASKWKojVEYZPlX9AhEsA4a,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
COR Berlin Kommunikation ,AGENCY,cor-berlin.com,cus_SmAjrdVG2Y1SNG,sub_1RqcPgKojVEYZPlXofxpcUGX,25.0,1.0,1.0,5.0,25.0,450.0,2250.0,0.0,sub_1RqcPgKojVEYZPlXofxpcUGX,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Kollective,AGENCY,kollective.gr,cus_Sf1yAcHaTYWBb9,sub_1RjhwFKojVEYZPlXv7TlwDPA,10.0,10.0,9.0,50.0,90.0,4800.0,8400.0,0.0,sub_1RjhwFKojVEYZPlXv7TlwDPA,200,,0.0,eur,month,8400.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,12935
Lusha,IN_HOUSE,lusha.com,cus_SqBeTqXvxYnVVG,sub_1RuVHIKojVEYZPlXAt70q8nH,100.0,1.0,1.0,94.0,100.0,8460.0,9000.0,0.0,sub_1RuVHIKojVEYZPlXAt70q8nH,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Koddi,IN_HOUSE,koddi.com,cus_Sc4JD97cQKQgno,sub_1RgqCEKojVEYZPlXEYBUz9nd,25.0,1.0,1.0,9.0,25.0,810.0,2250.0,0.0,sub_1RgqCEKojVEYZPlXEYBUz9nd,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Alt Text Ai,IN_HOUSE,alttext.ai,cus_SsBTMirvURoe68,sub_1RwR6iKojVEYZPlXiCE8H4fZ,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1RwR6iKojVEYZPlXiCE8H4fZ,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Speed Communications,IN_HOUSE,speedcommunications.com,cus_SlKsIxp9emIvGl,sub_1S10y7KojVEYZPlXJIkStZah,25.0,1.0,1.0,17.0,25.0,1530.0,2250.0,0.0,sub_1S10y7KojVEYZPlXJIkStZah,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Barthet,IN_HOUSE,barthet.com,cus_T2cJ1FlkA0M7Ca,sub_1S6X5cKojVEYZPlXjvo6jQei,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1S6X5cKojVEYZPlXjvo6jQei,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Telefónica ,IN_HOUSE,telefonica.de,cus_STLBPEjxAabDcF,sub_1RYOYCKojVEYZPlXg0S7zARv,300.0,1.0,1.0,133.0,300.0,19950.0,45000.0,1.0,sub_1RYOYCKojVEYZPlXg0S7zARv,499,,0.0,eur,month,45000.0,0,enterprise,49900,499,0.01,0.0,0.0,0.0,0.0,0.0,49900
audibene,IN_HOUSE,audibene.de,cus_T1uAVmM73krTyA,sub_1S5qNUKojVEYZPlX6yAEYike,100.0,1.0,1.0,47.0,100.0,4230.0,9000.0,0.0,sub_1S5qNUKojVEYZPlX6yAEYike,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
NFM,IN_HOUSE,nfm.com,cus_T1tZMtpHDgJkcw,sub_1S5pqSKojVEYZPlXinMbsFHR,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1S5pqSKojVEYZPlXinMbsFHR,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Haribo,IN_HOUSE,haribo.com,cus_TARBLzscmD2rr1,sub_1SE6KNKojVEYZPlXmdH6t30V,25.0,1.0,1.0,4.0,25.0,360.0,2250.0,0.0,sub_1SE6KNKojVEYZPlXmdH6t30V,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Firesign,AGENCY,firesignmarketing.com,cus_SYhlGbMIOkql0f,sub_1RdaLzKojVEYZPlXASzBCMHc,50.0,2.0,2.0,16.0,100.0,1440.0,9000.0,0.0,sub_1RdaLzKojVEYZPlXASzBCMHc,199,,0.0,usd,month,9000.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,12935
Omniscient,AGENCY,beomniscient.com,cus_SB7wu6ZPIFgWlX,sub_1RGlgRKojVEYZPlXM7tBZaQF,25.0,16.0,17.0,378.0,450.0,35910.0,42750.0,2.0,sub_1RGlgRKojVEYZPlXM7tBZaQF,1440,,0.0,eur,month,42750.0,0,scale,37425,499,0.013333333333333334,5325.0,0.0,0.0,0.0,0.0,42750
HashMicro,IN_HOUSE,hashmicro.com,cus_T5VnMZwkDG5aTA,sub_1S9KnCKojVEYZPlX3O7gbYxH,100.0,1.0,1.0,6.0,100.0,540.0,9000.0,0.0,sub_1S9KnCKojVEYZPlX3O7gbYxH,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
BIKE24,IN_HOUSE,bike24.de,cus_SzvTWX7pMlYoIq,sub_1S5lXzKojVEYZPlXEzHMXoUy,100.0,1.0,1.0,97.0,100.0,8730.0,9000.0,0.0,sub_1S5lXzKojVEYZPlXEzHMXoUy,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Siteminder,IN_HOUSE,siteminder.com,cus_SGqskTrof2w1ri,sub_1RNpeLKojVEYZPlXQETnBd4M,200.0,1.0,1.0,101.0,200.0,9090.0,18000.0,0.0,sub_1RNpeLKojVEYZPlXQETnBd4M,299,,0.0,eur,month,18000.0,0,pro,14925,199,0.013333333333333334,3075.0,0.0,0.0,0.0,0.0,18000
Blueprint for Scale,AGENCY,blueprintforscale.com,cus_SpTjYVHaRpXCd7,sub_1RtonTKojVEYZPlX1mwDYkvO,25.0,1.0,1.0,8.0,25.0,720.0,2250.0,0.0,sub_1RtonTKojVEYZPlX1mwDYkvO,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Ray Sono,AGENCY,raysono.com,cus_StBec9FvAYEBYe,sub_1RxPKVKojVEYZPlX1CMIJCOM,25.0,1.0,1.0,16.0,25.0,1440.0,2250.0,0.0,sub_1RxPKVKojVEYZPlX1CMIJCOM,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Soda PDF,IN_HOUSE,sodapdf.com,cus_SlNwBCc0nqrWq7,sub_1RprCCKojVEYZPlXd8rjZrcB,100.0,1.0,1.0,66.0,100.0,5940.0,9000.0,0.0,sub_1RprCCKojVEYZPlXd8rjZrcB,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Travel Manitoba,IN_HOUSE,travelmanitoba.com,cus_T9t4mEvVEoR0c5,sub_1SDZL3KojVEYZPlXgDCc6EuG,25.0,1.0,1.0,24.0,25.0,2160.0,2250.0,0.0,sub_1SDZL3KojVEYZPlXgDCc6EuG,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Fielmann,IN_HOUSE,fielmann.de,cus_SO4wHqfeNRQ15I,sub_1RTIxtKojVEYZPlXPnsPFZXV,100.0,1.0,1.0,68.0,100.0,6120.0,9000.0,0.0,sub_1RTIxtKojVEYZPlXPnsPFZXV,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Bloom Search Marketing,AGENCY,makeitbloom.com,cus_T1VSUXL86aPtin,sub_1S5SSpKojVEYZPlXv37Dy5Tf,25.0,1.0,1.0,15.0,25.0,2700.0,4500.0,0.0,sub_1S5SSpKojVEYZPlXv37Dy5Tf,89,,0.0,eur,month,4500.0,0,intro,2250,89,0.03955555555555555,0.0,2250.0,2475.0,0.0,0.0,4500
KO-PYLOT,AGENCY,ko-pylot.com,cus_SdusdBrGL98Jj9,sub_1Rid70KojVEYZPlXOl9XgNYl,25.0,1.0,1.0,30.0,25.0,2700.0,2250.0,0.0,sub_1Rid70KojVEYZPlXOl9XgNYl,89,,0.0,eur,month,2700.0,0,intro,2250,89,0.03955555555555555,0.0,450.0,495.00000000000006,0.0,0.0,2700
Agency,AGENCY,agency.com,cus_SuGOfAl0tYA7dW,sub_1S5ITSKojVEYZPlXaLFG4aqa,25.0,1.0,1.0,6.0,25.0,540.0,2250.0,0.0,sub_1S5ITSKojVEYZPlXaLFG4aqa,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
ifeel,IN_HOUSE,ifeelonline.com,cus_Sp4Lf4OfxQAdGC,sub_1S0exeKojVEYZPlXgC4ZwQqY,25.0,1.0,1.0,24.0,25.0,2160.0,2250.0,0.0,sub_1S0exeKojVEYZPlXgC4ZwQqY,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
this is digital,AGENCY,thisisdigital.co.uk,cus_SebfXvFr7VwJu1,sub_1RjIThKojVEYZPlX6PqcXH50,50.0,2.0,2.0,67.0,100.0,6030.0,9000.0,0.0,sub_1RjIThKojVEYZPlX6PqcXH50,199,,0.0,eur,month,9000.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,12935
Standards Store,IN_HOUSE,standards.org.au,cus_T9CRWUdCfLPwrK,sub_1SCu4rKojVEYZPlXrcZUKpIv,25.0,1.0,1.0,18.0,25.0,1620.0,2250.0,0.0,sub_1SCu4rKojVEYZPlXrcZUKpIv,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Otché,AGENCY,otche.co,cus_Sge3YSDmad4qnz,sub_1SFy8lKojVEYZPlX5D2mIjNg,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1SFy8lKojVEYZPlX5D2mIjNg,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
ex Ventures UG,AGENCY,ehochx.com,cus_Sp7sfP7Odaxh5P,sub_1RxqTEKojVEYZPlXATU0crxb,25.0,1.0,1.0,2.0,25.0,180.0,2250.0,0.0,sub_1RxqTEKojVEYZPlXATU0crxb,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Tell Me More,AGENCY,tellmemore.co,cus_SYkaN4zD06sXnm,sub_1Rdd5dKojVEYZPlXBn22plpT,25.0,1.0,1.0,99.0,100.0,8910.0,9000.0,0.0,sub_1Rdd5dKojVEYZPlXBn22plpT,89,,0.0,usd,month,9000.0,0,intro,2250,89,0.03955555555555555,0.0,6750.0,7425.000000000001,0.0,0.0,9000
Railsware,IN_HOUSE,railsware.com,cus_SPIOnnIPBnt6bb,sub_1RUToMKojVEYZPlXcsaRWZIZ,25.0,1.0,1.0,25.0,100.0,3000.0,12000.0,0.0,sub_1RUToMKojVEYZPlXcsaRWZIZ,89,,0.0,usd,month,12000.0,0,starter,3560,89,0.025,0.0,8440.0,9284.0,0.0,0.0,12000
Advidera ,AGENCY,advidera.com,cus_SlIwCD5jwx1a4L,sub_1RxObOKojVEYZPlX5Bkkjs84,25.0,1.0,1.0,5.0,25.0,450.0,2250.0,0.0,sub_1RxObOKojVEYZPlX5Bkkjs84,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
precis.,AGENCY,precisdigital.com,cus_RtTJLEcaVIJmYe,sub_1QzgNHKojVEYZPlX2gljsOWX,130.0,4.0,4.0,166.0,120.0,14940.0,10800.0,4.0,sub_1QzgNHKojVEYZPlX2gljsOWX,339,,1.0,eur,month,14940.0,0,growth,12935,199,0.015384615384615385,2005.0,0.0,0.0,0.0,0.0,14940
Index Ventures,IN_HOUSE,indexventures.com,cus_Sc0Cw0hY0hbrTv,sub_1RgmDmKojVEYZPlXEWbWWtFi,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1RgmDmKojVEYZPlXEWbWWtFi,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Future PLC,AGENCY,futureplc.com,cus_SWOWB7PiQ29ha3,sub_1RbLkVKojVEYZPlX3HeQLSVv,300.0,1.0,2.0,494.0,500.0,44460.0,45000.0,0.0,sub_1RbLkVKojVEYZPlX3HeQLSVv,499,,0.0,eur,month,45000.0,0,scale,37425,499,0.013333333333333334,0.0,7575.0,8332.5,0.0,0.0,45000
Gravy,AGENCY,thisisgravy.co.uk,cus_SlfdFyfezTeXcg,sub_1Rq8J7KojVEYZPlXQXRm7gVv,25.0,1.0,1.0,0.0,25.0,0.0,2250.0,0.0,sub_1Rq8J7KojVEYZPlXQXRm7gVv,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Conqueri Digital,IN_HOUSE,conqueri.ca,cus_T7zzXI821L0Iy5,sub_1SBk0cKojVEYZPlXD42sGnYl,25.0,1.0,1.0,5.0,25.0,450.0,2250.0,0.0,sub_1SBk0cKojVEYZPlXD42sGnYl,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Outletcity Metzingen,IN_HOUSE,outletcity.com,cus_SUVWAVyAw7GsXk,sub_1RZWWVKojVEYZPlX5hG2TTND,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1RZWWVKojVEYZPlX5hG2TTND,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Access Holdings ,IN_HOUSE,accessholdings.com,cus_SlP5Bbkfb0iNjS,sub_1RpxqhKojVEYZPlXGaO4jmnO,25.0,1.0,1.0,21.0,25.0,1890.0,2250.0,0.0,sub_1RpxqhKojVEYZPlXGaO4jmnO,90,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Character AI,IN_HOUSE,character.ai,cus_TAYjqTcDybwBqL,sub_1SEDddKojVEYZPlXi4Nm38ue,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1SEDddKojVEYZPlXi4Nm38ue,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Mint Studios,AGENCY,mintcopywritingstudios.com,cus_S94aZDe6Qv4GAB,sub_1REmRpKojVEYZPlXiGANOpFX,50.0,8.0,8.0,230.0,400.0,20700.0,36000.0,0.0,sub_1REmRpKojVEYZPlXiGANOpFX,600,,0.0,eur,month,36000.0,0,scale,37425,499,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,37425
Skindr,IN_HOUSE,skindr.com,cus_Sasi7Glz49DMuw,sub_1RfgyJKojVEYZPlXfrAApz1U,25.0,1.0,1.0,8.0,25.0,720.0,2250.0,0.0,sub_1RfgyJKojVEYZPlXfrAApz1U,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Jerasoft ,IN_HOUSE,jerasoft.net,cus_T9QNQF2Fh7redS,sub_1SD8P6KojVEYZPlXdig6B5VR,25.0,1.0,1.0,19.0,25.0,1710.0,2250.0,0.0,sub_1SD8P6KojVEYZPlXdig6B5VR,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Meili & Hess,IN_HOUSE,meilihess.ch,cus_Sm8GUg153kFohf,sub_1Rqa05KojVEYZPlX53fjwOnn,120.0,6.0,6.0,192.0,200.0,17280.0,18000.0,0.0,sub_1Rqa05KojVEYZPlX53fjwOnn,200,,0.0,eur,month,18000.0,0,pro,14925,199,0.013333333333333334,75.0,3000.0,3300.0000000000005,0.0,0.0,18000
Sharetribe,IN_HOUSE,sharetribe.com,cus_Sbe5eqx5EzshHX,sub_1RiwkDKojVEYZPlXhC7zcmWL,25.0,1.0,1.0,10.0,25.0,900.0,2250.0,0.0,sub_1RiwkDKojVEYZPlXhC7zcmWL,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
DELUCKS,AGENCY,delucks.com,cus_SeacJEX22g3wsV,sub_1SDRPHKojVEYZPlXcQuIq891,25.0,1.0,1.0,15.0,25.0,1350.0,2250.0,0.0,sub_1SDRPHKojVEYZPlXcQuIq891,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Pan Macmillan,IN_HOUSE,panmacmillan.com,cus_SyTgWB5ja5jpHH,sub_1S90drKojVEYZPlXm0vYdRam,100.0,1.0,1.0,100.0,100.0,9000.0,9000.0,0.0,sub_1S90drKojVEYZPlXm0vYdRam,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
FastDL,IN_HOUSE,fastdl.app,cus_SZkAwlpSuMDmqL,sub_1ReafwKojVEYZPlXp11oZsz3,25.0,5.0,2.0,15.0,50.0,1350.0,4500.0,0.0,sub_1ReafwKojVEYZPlXp11oZsz3,200,,0.0,eur,month,4500.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Worders,AGENCY,worders.net,cus_SjqJmQSVb3sDZR,sub_1RoMePKojVEYZPlX1hi3w720,25.0,1.0,1.0,9.0,25.0,810.0,2250.0,0.0,sub_1RoMePKojVEYZPlX1hi3w720,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
UAB Tvora,IN_HOUSE,tvora.eu,cus_Srj6E2Tjk0S5Px,sub_1S0fRkKojVEYZPlXUVHxEp88,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1S0fRkKojVEYZPlXUVHxEp88,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
sofatutor,IN_HOUSE,sofatutor.com,cus_SeGZ3H0cuGLAXf,sub_1RkiMCKojVEYZPlXotqmeGZn,100.0,1.0,1.0,67.0,100.0,8040.0,12000.0,0.0,sub_1RkiMCKojVEYZPlXotqmeGZn,248,,0.0,eur,month,12000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Asseco Solutions AG,IN_HOUSE,assecosolutions.com,cus_SBK7AMw1Il8i4x,sub_1RGxTgKojVEYZPlXDRkfS8nB,60.0,1.0,1.0,50.0,50.0,9750.0,9750.0,1.0,sub_1RGxTgKojVEYZPlXDRkfS8nB,120,,0.0,eur,month,9750.0,0,starter,3560,89,0.025,1240.0,4950.0,5445.0,0.0,0.0,9750
Narrative Industries,AGENCY,narrativeindustries.com,cus_T5CofHZjbyMraQ,sub_1S953pKojVEYZPlXPMkSq6w1,25.0,1.0,1.0,10.0,25.0,900.0,2250.0,0.0,sub_1S953pKojVEYZPlXPMkSq6w1,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Bearaby,IN_HOUSE,bearaby.com,cus_Sp3KTYziQyLr3j,sub_1RtPIQKojVEYZPlXOvRqBSSh,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1RtPIQKojVEYZPlXOvRqBSSh,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Vero,AGENCY,vero-asean.com,cus_TBUfKZ01AKDXoN,sub_1SF7gTKojVEYZPlXtbEAR6yk,25.0,1.0,1.0,14.0,25.0,1260.0,2250.0,0.0,sub_1SF7gTKojVEYZPlXtbEAR6yk,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Ströer Publishing,AGENCY,stroeer-publishing.de,cus_SThe4chllDYVG9,sub_1RYkG2KojVEYZPlX6O6eUyAV,25.0,1.0,1.0,13.0,25.0,1170.0,2250.0,0.0,sub_1RYkG2KojVEYZPlX6O6eUyAV,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
varosun,IN_HOUSE,varosun.com,cus_Sc2w6KmfOOeEWv,sub_1RgpHrKojVEYZPlXgevea5MR,25.0,1.0,1.0,9.0,25.0,810.0,2250.0,0.0,sub_1RgpHrKojVEYZPlXgevea5MR,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Espace Concours,IN_HOUSE,espace-concours.fr,cus_T1UNHUpIUppI7x,sub_1S5kDdKojVEYZPlXHwTJNbwr,25.0,1.0,1.0,21.0,25.0,1890.0,2250.0,0.0,sub_1S5kDdKojVEYZPlXHwTJNbwr,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Abraxio,IN_HOUSE,abraxio.com,cus_SgPuci4e8Uua6l,sub_1Rl35FKojVEYZPlXkgGEteIi,100.0,1.0,1.0,92.0,100.0,8280.0,9000.0,0.0,sub_1Rl35FKojVEYZPlXkgGEteIi,169,2029.0,0.0,eur,year,9000.0,0,pro,14925,1990,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,14925
papernest,IN_HOUSE,papernest.com,cus_SeAjqheBJRgjPu,sub_1RisQCKojVEYZPlXXHcvoy9d,25.0,1.0,1.0,7.0,25.0,630.0,2250.0,0.0,sub_1RisQCKojVEYZPlXXHcvoy9d,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
AsiaYo Travel Technology ,AGENCY,asiayo.com,cus_SjT3CIQLa7QJQe,sub_1RoJ0YKojVEYZPlXy73jU1aC,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1RoJ0YKojVEYZPlXy73jU1aC,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Functionize,IN_HOUSE,functionize.com,cus_SpB0gSArhfiPnp,sub_1RvL06KojVEYZPlX6cTGaGXo,100.0,1.0,1.0,100.0,100.0,9000.0,9000.0,0.0,sub_1RvL06KojVEYZPlX6cTGaGXo,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Verder,IN_HOUSE,verderliquids.com,cus_STJEpn4EQBz8IE,sub_1RYMdbKojVEYZPlXtdRbiqkZ,100.0,1.0,1.0,48.0,100.0,4320.0,9000.0,0.0,sub_1RYMdbKojVEYZPlXtdRbiqkZ,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Magnetic North,AGENCY,magnorth.com,cus_T3tWIKut5EprKK,sub_1S7ljUKojVEYZPlX8ksFIZMa,30.0,10.0,10.0,174.0,300.0,15660.0,27000.0,0.0,sub_1S7ljUKojVEYZPlX8ksFIZMa,450,,0.0,eur,month,27000.0,0,growth,12935,199,0.015384615384615385,14065.0,0.0,0.0,0.0,0.0,27000
