name,type,domain,stripe_customer_id,stripe_subscription_id,purchased_capacity,orgs_purchased,orgs_count,prompts_count,prompt_limit,credits_usage,credits_capacity,orgs_count_hf,subscription_id,mrr,arr,discount_count,currency,interval,baseline_credits_needed,effective_discount_pct,new_plan,plan_credits,plan_price,credit_price,purchased_credits,extra_credits_granted,extra_credits_granted_10,discount_amount,discount_pct,total_available_credits
Quicklizard,IN_HOUSE,quicklizard.com,cus_Rxqdo040k2dCHP,sub_1R3uvpKojVEYZPlXtTKid9DY,30.0,1.0,1.0,30.0,30.0,2700.0,2700.0,1.0,sub_1R3uvpKojVEYZPlXtTKid9DY,96,,1.0,eur,month,2700.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Technical creatives,AGENCY,technicalcreatives.com,cus_Sg5h0fsi8aOjKP,sub_1RkjWJKojVEYZPlX4LQpL3wn,110.0,13.0,10.0,66.0,205.0,5940.0,18450.0,0.0,sub_1RkjWJKojVEYZPlX4LQpL3wn,374,,0.0,eur,month,18450.0,0,growth,12935,199,0.015384615384615385,5515.0,0.0,0.0,0.0,0.0,18450
AlertMedia,IN_HOUSE,alertmedia.com,cus_SmBygESds3bpsv,sub_1Rqf90KojVEYZPlXZxv0i4xL,100.0,1.0,1.0,60.0,100.0,5400.0,9000.0,0.0,sub_1Rqf90KojVEYZPlXZxv0i4xL,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
PARK 7,IN_HOUSE,park-sieben.com,cus_SUW5GninpByxgK,sub_1RZX4DKojVEYZPlXkzQSkoFO,50.0,2.0,1.0,7.0,50.0,630.0,4500.0,0.0,sub_1RZX4DKojVEYZPlXkzQSkoFO,199,,0.0,eur,month,4500.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
GrowRoom,AGENCY,growroom.agency,cus_SlKB9PswXUcLm8,sub_1RpnZUKojVEYZPlX3UcGZhRj,300.0,1.0,1.0,282.0,300.0,42300.0,45000.0,0.0,sub_1RpnZUKojVEYZPlX3UcGZhRj,689,,0.0,eur,month,45000.0,0,scale,37425,499,0.013333333333333334,7575.0,0.0,0.0,0.0,0.0,45000
EOM.de,AGENCY,eom.de,cus_StGLbqgQBkcQmg,sub_1RxTqcKojVEYZPlXz97AN1ox,125.0,2.0,2.0,34.0,125.0,3060.0,11250.0,0.0,sub_1RxTqcKojVEYZPlXz97AN1ox,288,,0.0,eur,month,11250.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,12935
YOYABA,AGENCY,smoobu.com,cus_RtlYEGtfhEVWHQ,sub_1Qzy18KojVEYZPlXEWSUpbu2,30.0,3.0,3.0,85.0,85.0,7650.0,7650.0,2.0,sub_1Qzy18KojVEYZPlXEWSUpbu2,180,,0.0,eur,month,7650.0,0,intro,2250,89,0.03955555555555555,2300.561797752809,3099.438202247191,3409.38202247191,0.0,0.0,7650
Maschinensucher,IN_HOUSE,maschinensucher.de,cus_T15r9yOkXiGJth,sub_1S53rqKojVEYZPlXXE8ScPHx,25.0,1.0,1.0,22.0,25.0,1980.0,2250.0,0.0,sub_1S53rqKojVEYZPlXXE8ScPHx,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Aikido Security,IN_HOUSE,aikido.dev,cus_SFrO3veDCQby9V,sub_1RLLimKojVEYZPlXXlhWDLNK,500.0,1.0,1.0,133.0,250.0,31920.0,60000.0,1.0,sub_1RLLimKojVEYZPlXXlhWDLNK,299,,0.0,eur,month,60000.0,0,pro,14925,199,0.013333333333333334,7499.999999999999,37575.0,41332.5,0.0,0.0,60000
Gigs,IN_HOUSE,gigs.com,cus_T4slNcZfPyIILp,sub_1S8j1xKojVEYZPlXGCFKYx9Q,100.0,1.0,1.0,94.0,100.0,8460.0,9000.0,0.0,sub_1S8j1xKojVEYZPlXGCFKYx9Q,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Voy,IN_HOUSE,joinvoy.com,cus_T4RCZmvqDTpeHJ,sub_1S8PbjKojVEYZPlXjVRjpM8W,25.0,1.0,1.0,5.0,25.0,450.0,2250.0,0.0,sub_1S8PbjKojVEYZPlXjVRjpM8W,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Signalchecker,IN_HOUSE,signalchecker.co.uk,cus_T1uWrsiNEIuGBq,sub_1S5qjBKojVEYZPlX5khowbtE,25.0,1.0,1.0,5.0,25.0,450.0,2250.0,0.0,sub_1S5qjBKojVEYZPlX5khowbtE,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Exportarts,AGENCY,exportarts.io,cus_SUSCsU34FBU36A,sub_1RZTIvKojVEYZPlXWxWp32L5,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1RZTIvKojVEYZPlXWxWp32L5,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
CFOshare,IN_HOUSE,cfoshare.org,cus_T1vhlTURo5C5pW,sub_1S5rrOKojVEYZPlX5Eb6KhGy,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1S5rrOKojVEYZPlX5Eb6KhGy,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Unic AG,AGENCY,unic.com,cus_SwyosXKcteGXU1,sub_1S153ZKojVEYZPlXAObUbBrW,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1S153ZKojVEYZPlXAObUbBrW,89,,0.0,eur,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
TRES Finance,IN_HOUSE,tres.finance,cus_SbZe3n7lybhYC9,sub_1RgMVCKojVEYZPlXPguDNt1e,100.0,1.0,1.0,100.0,100.0,12000.0,12000.0,0.0,sub_1RgMVCKojVEYZPlXPguDNt1e,199,,0.0,eur,month,12000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Digital Sisco,AGENCY,digitalsisco.com,cus_S55NJwaC3JyH45,sub_1RAvDDKojVEYZPlXVrgC56Ab,155.0,5.0,6.0,220.0,600.0,19800.0,54000.0,3.0,sub_1RAvDDKojVEYZPlXVrgC56Ab,468,,0.0,eur,month,54000.0,0,growth,12935,199,0.015384615384615385,17485.0,23580.0,25938.000000000004,0.0,0.0,54000
EWR Digital,AGENCY,ewrdigital.com,cus_T9lwA5aMOZqZti,sub_1SDSPzKojVEYZPlXxaoecaLs,25.0,1.0,1.0,9.0,25.0,810.0,2250.0,0.0,sub_1SDSPzKojVEYZPlXxaoecaLs,89,,0.0,usd,month,2250.0,0,intro,2250,89,0.03955555555555555,0.0,0.0,0.0,0.0,0.0,2250
Zenoti,IN_HOUSE,zenoti.com,cus_T1yJ1PBKqjEb2i,sub_1S5uOtKojVEYZPlXahnCZdde,25.0,1.0,1.0,6.0,25.0,540.0,2250.0,0.0,sub_1S5uOtKojVEYZPlXahnCZdde,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
projx,AGENCY,projx.de,cus_SJcDa9bxaRwJmE,sub_1ROz0YKojVEYZPlXxk5PRvNa,25.0,1.0,2.0,35.0,50.0,3150.0,4500.0,1.0,sub_1ROz0YKojVEYZPlXxk5PRvNa,90,,0.0,eur,month,4500.0,0,intro,2250,89,0.03955555555555555,25.280898876404496,2224.7191011235955,2447.191011235955,0.0,0.0,4500
Connextek,IN_HOUSE,connextek.ca,cus_SLcoPthLUnSTKj,sub_1RQvYfKojVEYZPlXMwPDK2xL,25.0,1.0,1.0,10.0,25.0,900.0,2250.0,0.0,sub_1RQvYfKojVEYZPlXMwPDK2xL,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
SimplePractice,IN_HOUSE,simplepractice.com,cus_SgbReaG9blYfUs,sub_1S31R1KojVEYZPlXyUjJfagW,100.0,1.0,1.0,100.0,100.0,9000.0,9000.0,0.0,sub_1S31R1KojVEYZPlXyUjJfagW,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Osano,IN_HOUSE,osano.com,cus_T4EtWzmsjbpBY8,sub_1SBfmGKojVEYZPlXLTVHLCst,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1SBfmGKojVEYZPlXLTVHLCst,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Art of Living,IN_HOUSE,artofliving.org,cus_Sz2vZXgh2pKHkS,sub_1S8A31KojVEYZPlXDUeYwZQo,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1S8A31KojVEYZPlXDUeYwZQo,89,,0.0,usd,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Photohuman,IN_HOUSE,photohuman.space,cus_SrrTtE0nqEGcIj,sub_1Rw7m6KojVEYZPlXO7aKnHhU,25.0,1.0,1.0,7.0,25.0,630.0,2250.0,0.0,sub_1Rw7m6KojVEYZPlXO7aKnHhU,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Movavi,IN_HOUSE,movavi.com,cus_SWfQSKZh8Hs4LO,sub_1Rbc77KojVEYZPlXmHx2WoFY,25.0,1.0,1.0,21.0,25.0,4410.0,5250.0,0.0,sub_1Rbc77KojVEYZPlXmHx2WoFY,227,,0.0,eur,month,5250.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Measurlabs,IN_HOUSE,measurlabs.com,cus_Sb9NWNRE6uUyGR,sub_1Rfx5pKojVEYZPlXHsW92yNS,100.0,1.0,1.0,93.0,100.0,8370.0,9000.0,0.0,sub_1Rfx5pKojVEYZPlXHsW92yNS,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
firstmotion.com,AGENCY,firstmotion.com,cus_SUt77OLVhucR6f,sub_1RZtLpKojVEYZPlX9cOK1ryE,50.0,2.0,1.0,34.0,50.0,3060.0,4500.0,0.0,sub_1RZtLpKojVEYZPlX9cOK1ryE,199,,0.0,eur,month,4500.0,0,growth,12935,199,0.015384615384615385,0.0,0.0,0.0,0.0,0.0,12935
Convert,IN_HOUSE,convert.com,cus_T6lIGtPzNAJ50X,sub_1SAXnhKojVEYZPlX52HjaHsj,25.0,1.0,1.0,16.0,25.0,1440.0,2250.0,0.0,sub_1SAXnhKojVEYZPlX52HjaHsj,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Slash Digital,AGENCY,slash.de,cus_SZhIKPDN3h7gZv,sub_1ReaJFKojVEYZPlXxTQa64jg,50.0,5.0,5.0,250.0,500.0,22500.0,45000.0,0.0,sub_1ReaJFKojVEYZPlXxTQa64jg,424,,0.0,eur,month,45000.0,0,growth,12935,199,0.015384615384615385,14625.0,17440.0,19184.0,0.0,0.0,45000
Cellgo,IN_HOUSE,cellgo.io,cus_SulEH7fll55mJc,sub_1RyviGKojVEYZPlXcS0xKNN0,25.0,1.0,1.0,25.0,25.0,2250.0,2250.0,0.0,sub_1RyviGKojVEYZPlXcS0xKNN0,89,,0.0,eur,month,2250.0,0,starter,3560,89,0.025,0.0,0.0,0.0,0.0,0.0,3560
Better Stack,IN_HOUSE,betterstack.com,cus_SYaQRoK0eEP6Fc,sub_1RdTG5KojVEYZPlX0woGE4cr,100.0,1.0,1.0,100.0,100.0,9000.0,9000.0,0.0,sub_1RdTG5KojVEYZPlX0woGE4cr,199,,0.0,eur,month,9000.0,0,pro,14925,199,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,14925
Novopath,IN_HOUSE,novopath.com,cus_T1z1lWVmbS1yJ9,sub_1S5v3uKojVEYZPlX6N4QAaJu,300.0,1.0,1.0,272.0,300.0,24480.0,27000.0,0.0,sub_1S5v3uKojVEYZPlX6N4QAaJu,499,,0.0,eur,month,27000.0,0,enterprise,49900,499,0.01,0.0,0.0,0.0,0.0,0.0,49900
Twenty-Eight,AGENCY,twenty-eight.agency,cus_SU2MwpPiKKt0pO,sub_1RZ4J3KojVEYZPlXZFhMsJe3,25.0,2.0,2.0,50.0,50.0,4500.0,4500.0,0.0,sub_1RZ4J3KojVEYZPlXZFhMsJe3,178,,0.0,eur,month,4500.0,0,intro,2250,89,0.03955555555555555,2250.0,0.0,0.0,0.0,0.0,4500
